ParticipantName	FixationIndex	AOI[window]Hit	AOI[graph]Hit	AOI[legend]Hit	AOI[title]Hit	AOI[Q1]Hit	AOI[Q2]Hit	AOI[Q3]Hit	AOI[Q4]Hit	
P07	13	1	0	0	0	0	0	0	0	
P07	14	1	1	0	0	0	0	0	0	
P07	15	1	1	0	0	0	0	0	0	
P07	16	1	0	0	0	0	0	0	0	
P07	17	1	0	0	1	0	0	0	0	
P07	18	1	0	0	0	0	0	0	0	
P07	19	1	1	0	0	0	0	0	0	
P07	20	1	1	0	0	0	0	0	0	
P07	21	1	1	0	0	0	0	0	0	
P07	22	1	1	0	0	0	0	0	0	
P07	23	1	1	0	0	0	0	0	0	
P07	24	1	1	0	0	0	0	0	0	
P07	25	1	0	0	0	0	0	0	0	
P07	26	1	0	0	0	0	0	0	0	
P07	27	1	0	0	0	0	0	0	0	
P07	28	1	0	0	0	0	0	0	0	
P07	29	1	1	0	0	0	0	0	0	
P07	30	1	1	0	0	0	0	0	0	
P07	31	1	1	0	0	0	0	0	0	
P07	32	1	1	0	0	0	0	0	0	
P07	33	1	0	0	0	0	0	0	0	
P07	34	1	0	0	0	0	0	0	0	
P07	35	1	0	0	0	0	0	0	0	
P07	36	1	0	0	0	0	0	0	0	
P07	37	1	1	0	0	0	0	0	0	
P07	38	1	0	0	0	0	0	0	0	
P07	39	1	1	0	0	1	0	0	0	
P07	40	1	1	0	0	0	0	0	0	
P07	41	1	1	0	0	0	0	0	0	
P07	42	1	1	0	0	0	0	0	0	
P07	43	1	1	0	0	0	0	0	0	
P07	44	1	0	0	0	0	0	0	0	
P07	45	1	0	0	0	0	0	0	0	
P07	46	1	0	0	0	0	0	0	0	
P07	47	1	0	0	0	0	0	0	0	
P07	48	1	0	0	0	0	0	0	0	
P07	49	1	0	0	0	0	0	0	0	
P07	50	1	0	0	0	0	0	0	0	
P07	51	1	1	0	0	0	0	0	0	
P07	52	1	1	0	0	0	0	0	0	
P07	53	1	1	0	0	0	0	0	0	
P07	54	1	1	0	0	0	0	0	0	
P07	55	1	0	1	0	0	0	0	0	
P07	56	1	0	0	0	0	0	0	0	
P07	57	1	0	1	0	0	0	0	0	
P07	58	1	0	1	0	0	0	0	0	
P07	59	1	1	0	0	0	0	0	0	
P07	60	1	1	0	0	1	0	0	0	
P07	61	1	0	0	0	0	0	0	0	
P07	62	1	0	0	0	0	0	0	0	
P07	63	1	1	0	0	0	0	0	0	
P07	64	1	1	0	0	0	0	0	0	
P07	65	1	1	0	0	0	0	0	0	
P07	66	1	1	0	0	0	0	0	0	
P07	67	1	1	0	0	0	0	0	0	
P07	68	1	1	0	0	0	0	0	0	
P07	69	1	0	1	0	0	0	0	0	
P07	70	1	0	1	0	0	0	0	0	
P07	71	1	0	1	0	0	0	0	0	
P07	72	1	1	0	0	0	1	0	0	
P07	73	1	1	0	0	0	0	0	1	
P07	74	1	0	1	0	0	0	0	0	
P07	75	1	0	1	0	0	0	0	0	
P07	76	1	0	1	0	0	0	0	0	
P07	77	1	0	1	0	0	0	0	0	
P07	78	1	0	1	0	0	0	0	0	
P07	79	1	0	1	0	0	0	0	0	
P07	80	1	0	1	0	0	0	0	0	
P07	81	1	0	1	0	0	0	0	0	
P07	82	1	0	1	0	0	0	0	0	
P07	83	1	0	1	0	0	0	0	0	
P07	84	1	0	1	0	0	0	0	0	
P07	85	1	0	1	0	0	0	0	0	
P07	86	1	0	1	0	0	0	0	0	
P07	87	1	0	1	0	0	0	0	0	
P07	88	1	0	1	0	0	0	0	0	
P07	89	1	0	0	0	0	0	0	0	
P07	90	1	1	0	0	0	1	0	0	
P07	91	1	1	0	0	0	1	0	0	
P07	92	1	1	0	0	1	0	0	0	
P07	93	1	1	0	0	1	0	0	0	
P07	94	1	1	0	0	1	0	0	0	
P07	95	1	1	0	0	1	0	0	0	
P07	96	1	1	0	0	1	0	0	0	
P07	97	1	1	0	0	1	0	0	0	
P07	98	1	1	0	0	1	0	0	0	
P07	99	1	1	0	0	0	1	0	0	
P07	100	1	1	0	0	1	0	0	0	
P07	101	1	1	0	0	0	0	0	0	
P07	102	1	1	0	0	1	0	0	0	
P07	103	1	1	0	0	1	0	0	0	
P07	104	1	1	0	0	1	0	0	0	
P07	105	1	1	0	0	1	0	0	0	
P07	106	1	0	1	0	0	0	0	0	
P07	107	1	0	1	0	0	0	0	0	
P07	108	1	0	1	0	0	0	0	0	
P07	109	1	0	1	0	0	0	0	0	
