ParticipantName	LocalTimeStamp	FixationIndex	GazeEventDuration	AOI[window]Hit	AOI[title]Hit	AOI[graph]Hit	AOI[legend]Hit	AOI[Q3]Hit	AOI[Q2]Hit	AOI[Q1]Hit	
P04	09:34:48.030	47	157	1	0	1	0	0	0	1	
P04	09:34:48.214	48	163	1	0	1	0	0	0	1	
P04	09:34:48.424	49	333	1	0	1	0	0	1	0	
P04	09:34:48.814	50	360	1	0	1	0	1	0	0	
P04	09:34:49.224	51	133	1	0	1	0	0	0	1	
P04	09:34:49.420	52	230	1	0	0	0	0	0	0	
P04	09:34:49.684	53	180	1	0	0	0	0	0	0	
P04	09:34:49.890	54	197	1	0	0	0	0	0	0	
P04	09:34:50.127	55	480	1	0	0	0	0	0	0	
P04	09:34:50.633	56	247	1	0	0	0	0	0	0	
P04	09:34:50.907	57	167	1	0	0	0	0	0	0	
P04	09:34:51.100	58	177	1	0	0	0	0	0	0	
P04	09:34:51.300	59	217	1	0	0	0	0	0	0	
P04	09:34:51.537	60	267	1	0	0	0	0	0	0	
P04	09:34:51.846	61	293	1	0	0	0	0	0	0	
P04	09:34:52.170	62	237	1	0	0	0	0	0	0	
P04	09:34:52.430	63	177	1	0	0	0	0	0	0	
P04	09:34:52.636	64	217	1	0	0	0	0	0	0	
P04	09:34:52.880	65	227	1	0	0	0	0	0	0	
P04	09:34:53.156	66	160	1	0	1	0	0	0	1	
P04	09:34:53.333	67	363	1	0	1	0	0	0	1	
P04	09:34:53.723	68	283	1	0	1	0	0	0	1	
P04	09:34:54.043	69	197	1	0	1	0	0	0	1	
P04	09:34:54.263	70	200	1	0	1	0	0	0	1	
P04	09:34:54.480	71	230	1	0	1	0	0	0	1	
P04	09:34:54.760	72	377	1	0	0	1	0	0	0	
P04	09:34:55.206	73	227	1	0	1	0	0	0	1	
P04	09:34:55.459	74	420	1	0	1	0	0	0	1	
P04	09:34:55.936	75	290	1	0	0	1	0	0	0	
P04	09:34:56.239	76	946	1	0	0	1	0	0	0	
P04	09:34:57.282	77	277	1	0	1	0	0	0	1	
P04	09:34:57.592	78	127	1	0	1	0	0	1	0	
P04	09:34:57.759	79	287	1	0	1	0	0	1	0	
