ParticipantName	FixationIndex	AOI[title]Hit	AOI[legend]Hit	AOI[window]Hit	AOI[graph]Hit	AOI[Q1]Hit	AOI[Q2]Hit	AOI[Q3]Hit	
P05	50	0	1	1	0	0	0	0	
P05	51	0	0	1	1	1	0	0	
P05	52	0	0	1	1	1	0	0	
P05	53	0	0	1	1	1	0	0	
P05	54	0	0	1	1	0	0	0	
P05	55	0	0	1	1	0	0	1	
P05	56	0	0	1	1	1	0	0	
P06	1	1	0	1	0	0	0	0	
P06	2	1	0	1	0	0	0	0	
P06	3	1	0	1	0	0	0	0	
P06	4	1	0	1	0	0	0	0	
P06	5	1	0	1	0	0	0	0	
P06	6	1	0	1	0	0	0	0	
P06	7	0	0	1	0	0	0	0	
P06	8	1	0	1	0	0	0	0	
P06	9	1	0	1	0	0	0	0	
P06	10	1	0	1	0	0	0	0	
P06	11	1	0	1	0	0	0	0	
P06	12	1	0	1	0	0	0	0	
P06	13	1	0	1	0	0	0	0	
P06	14	1	0	1	0	0	0	0	
P06	15	1	0	1	0	0	0	0	
P06	16	1	0	1	0	0	0	0	
P06	17	1	0	1	0	0	0	0	
P06	18	1	0	1	0	0	0	0	
P06	19	1	0	1	0	0	0	0	
P06	20	1	0	1	0	0	0	0	
P06	21	0	0	1	1	1	0	0	
P06	22	0	0	1	0	0	0	0	
P06	23	0	0	1	0	0	0	0	
P06	24	0	0	1	1	1	0	0	
P06	25	0	0	1	1	1	0	0	
P06	26	0	0	1	1	1	0	0	
P06	27	0	0	1	0	0	0	0	
P06	28	0	0	1	0	0	0	0	
P06	29	1	0	1	0	0	0	0	
P06	30	1	0	1	0	0	0	0	
P06	31	1	0	1	0	0	0	0	
P06	32	0	0	1	0	0	0	0	
P06	33	0	1	1	0	0	0	0	
P06	34	0	0	1	1	1	0	0	
P06	35	0	0	1	1	1	0	0	
P06	36	0	0	1	0	0	0	0	
P06	37	0	0	1	0	0	0	0	
P06	38	1	0	1	0	0	0	0	
P06	39	1	0	1	0	0	0	0	
P06	40	1	0	1	0	0	0	0	
P06	41	0	1	1	0	0	0	0	
P06	42	0	0	1	1	1	0	0	
P06	43	0	0	1	1	1	0	0	
P06	44	0	0	1	1	0	1	0	
P06	45	0	0	1	1	0	0	0	
P06	46	0	0	1	1	0	0	1	
P06	47	0	0	1	0	0	0	0	
P06	48	0	0	1	0	0	0	0	
P06	49	1	0	1	0	0	0	0	
P06	50	1	0	1	0	0	0	0	
P06	51	0	0	1	1	1	0	0	
P06	52	0	0	1	1	1	0	0	
P06	53	1	0	1	0	0	0	0	
P06	54	0	1	1	0	0	0	0	
P06	55	0	1	1	0	0	0	0	
P06	56	0	1	1	0	0	0	0	
P06	57	0	1	1	0	0	0	0	
P06	58	0	0	1	1	1	0	0	
P06	59	0	0	1	1	1	0	0	
P06	60	0	0	1	0	0	0	0	
P06	61	1	0	1	0	0	0	0	
P06	62	0	0	1	1	0	0	1	
P06	63	0	0	1	1	0	0	1	
P06	64	0	0	1	1	0	1	0	
P06	65	0	0	1	1	0	1	0	
P06	66	0	0	1	1	0	0	1	
P06	67	0	0	1	1	0	0	1	
P06	68	0	0	1	1	0	0	1	
P06	69	0	0	1	0	0	0	0	
P06	70	1	0	1	0	0	0	0	
P06	71	1	0	1	0	0	0	0	
P07	1	0	0	1	0	0	0	0	
P07	2	0	0	1	1	0	0	0	
P07	3	0	0	1	1	1	0	0	
P07	4	0	1	1	0	0	0	0	
P07	5	0	1	1	0	0	0	0	
P07	6	1	0	1	0	0	0	0	
P07	7	1	0	1	0	0	0	0	
P07	8	1	0	1	0	0	0	0	
P07	9	1	0	1	0	0	0	0	
P07	10	1	0	1	0	0	0	0	
P07	11	1	0	1	0	0	0	0	
P07	12	1	0	1	0	0	0	0	
P07	13	1	0	1	0	0	0	0	
P07	14	0	0	1	0	0	0	0	
P07	15	1	0	1	0	0	0	0	
P07	16	1	0	1	0	0	0	0	
P07	17	1	0	1	0	0	0	0	
P07	18	1	0	1	0	0	0	0	
P07	19	1	0	1	0	0	0	0	
P07	20	1	0	1	0	0	0	0	
P07	21	0	0	1	0	0	0	0	
P07	22	0	0	1	0	0	0	0	
P07	23	0	1	1	0	0	0	0	
P07	24	0	0	1	1	1	0	0	
P07	25	0	1	1	0	0	0	0	
P07	26	1	0	1	0	0	0	0	
P07	27	1	0	1	0	0	0	0	
P07	28	1	0	1	0	0	0	0	
P07	29	1	0	1	0	0	0	0	
P07	30	1	0	1	0	0	0	0	
P07	31	0	1	1	0	0	0	0	
P07	32	0	1	1	0	0	0	0	
P07	33	0	1	1	0	0	0	0	
P07	34	0	1	1	0	0	0	0	
P07	35	1	0	1	0	0	0	0	
P07	36	1	0	1	0	0	0	0	
P07	37	0	0	1	0	0	0	0	
P07	38	1	0	1	0	0	0	0	
P07	39	0	0	1	0	0	0	0	
P07	40	1	0	1	0	0	0	0	
P07	41	1	0	1	0	0	0	0	
P07	42	0	0	1	0	0	0	0	
P07	43	0	1	1	0	0	0	0	
P07	44	0	1	1	0	0	0	0	
P07	45	0	1	1	0	0	0	0	
P07	46	0	1	1	0	0	0	0	
P07	47	0	0	1	1	1	0	0	
P07	48	0	0	1	1	1	0	0	
P07	49	0	0	1	1	0	0	0	
P07	50	0	1	1	0	0	0	0	
P07	51	0	1	1	0	0	0	0	
P07	52	0	1	1	0	0	0	0	
P07	53	0	0	1	1	1	0	0	
P07	54	0	0	1	1	1	0	0	
P07	55	0	0	1	1	1	0	0	
P07	56	0	0	1	1	0	0	0	
