ParticipantName	FixationIndex	AOI[window]Hit	AOI[title]Hit	AOI[legend]Hit	AOI[Q1]Hit	AOI[Q3]Hit	AOI[Q2]Hit	AOI[graph]Hit	
P09	26	1	0	0	0	1	0	1	
P09	27	1	0	0	0	0	1	1	
P09	28	1	0	0	0	1	0	1	
P09	29	1	0	0	0	1	0	1	
P10	1	1	0	0	0	0	0	1	
P10	2	1	0	0	0	0	0	1	
P10	3	1	0	0	0	0	1	1	
P10	4	1	0	0	0	1	0	1	
P10	5	1	0	0	0	1	0	1	
P10	6	1	0	0	0	0	0	1	
P10	7	1	0	0	0	0	0	0	
P10	8	1	0	0	0	0	0	0	
P10	9	1	0	0	0	0	0	1	
P10	10	1	0	0	0	0	0	0	
P10	11	1	1	0	0	0	0	0	
P10	12	1	1	0	0	0	0	0	
P10	13	1	1	0	0	0	0	0	
P10	14	1	0	0	0	1	0	1	
P10	15	1	0	1	0	0	0	0	
P10	16	1	0	1	0	0	0	0	
P10	17	1	0	1	0	0	0	0	
P10	18	1	0	1	0	0	0	0	
P10	19	1	0	0	0	1	0	1	
P10	20	1	0	0	0	1	0	1	
P10	21	1	0	0	0	0	0	0	
P10	22	1	0	0	0	1	0	1	
P10	23	1	0	0	1	0	0	1	
P10	24	1	0	0	1	0	0	1	
P10	25	1	0	0	0	0	0	1	
P10	26	1	0	0	0	1	0	1	
P10	27	1	0	0	0	1	0	1	
P10	28	1	0	0	0	0	0	0	
P10	29	1	0	0	0	0	0	0	
P10	30	1	0	0	0	0	0	0	
P10	31	1	0	0	0	0	0	0	
P10	32	1	1	0	0	0	0	0	
P10	33	1	0	0	0	0	0	0	
P10	34	1	1	0	0	0	0	0	
P10	35	1	0	0	0	0	0	1	
P10	36	1	0	0	0	0	0	1	
P10	37	1	0	0	0	0	0	1	
P10	38	1	0	0	0	1	0	1	
P10	39	1	0	0	0	1	0	1	
P10	40	1	0	0	0	0	0	1	
P10	41	1	0	0	0	0	0	1	
P10	42	1	0	0	0	0	0	1	
P10	43	1	0	0	0	0	0	1	
P11	1	1	0	0	0	0	0	1	
P11	2	1	0	0	0	0	0	1	
P11	3	1	0	0	0	0	0	1	
P11	4	1	1	0	0	0	0	0	
P11	5	1	1	0	0	0	0	0	
P11	6	1	0	0	0	0	0	0	
P11	7	1	0	0	0	0	0	0	
P11	8	1	0	0	0	0	0	1	
P11	9	1	0	0	0	0	0	0	
P11	10	1	0	0	0	0	0	1	
P11	11	1	0	0	0	1	0	1	
P11	12	1	0	1	0	0	0	0	
P11	13	1	0	0	0	0	0	0	
P11	14	1	0	1	0	0	0	0	
P11	15	1	0	1	0	0	0	0	
P11	16	1	0	0	0	1	0	1	
P11	17	1	0	0	0	1	0	1	
P11	18	1	0	0	0	1	0	1	
P11	19	1	1	0	0	0	0	0	
P11	20	1	0	0	0	0	0	0	
P11	21	1	0	0	0	0	0	1	
P11	22	1	0	0	0	0	0	0	
P11	23	1	0	0	0	0	0	0	
P11	24	1	0	0	0	0	0	1	
P11	25	1	0	0	0	0	0	1	
P11	26	1	0	0	0	0	0	1	
P12	1	1	0	0	0	0	0	1	
P12	2	1	0	0	0	0	0	0	
P12	3	1	0	0	0	0	0	0	
P12	4	1	0	0	0	0	0	0	
P12	5	1	0	0	0	0	0	1	
P12	6	1	0	0	0	0	0	1	
P12	7	1	0	0	0	0	0	1	
P12	8	1	0	0	0	0	0	1	
P12	9	1	0	0	0	0	0	0	
P12	10	1	0	0	0	0	0	0	
P12	11	1	0	0	0	0	0	1	
P12	12	1	0	0	1	0	0	1	
P12	13	1	0	0	0	0	0	1	
P12	14	1	0	1	0	0	0	0	
P12	15	1	0	0	0	0	0	0	
P12	16	1	0	0	0	1	0	1	
P12	17	1	0	0	0	1	0	1	
P12	18	1	0	0	0	0	0	1	
P12	19	1	0	0	0	0	0	1	
P12	20	1	0	0	0	0	0	0	
P12	21	1	0	0	1	0	0	1	
P12	22	1	0	0	0	0	0	1	
P12	23	1	0	0	0	0	0	1	
P12	24	1	0	0	0	0	0	0	
P12	25	1	0	0	0	0	0	1	
P12	26	1	0	0	0	0	0	1	
P12	27	1	0	0	0	0	0	1	
P12	28	1	0	0	0	0	0	1	
P12	29	1	0	0	0	0	0	1	
P13	1	1	0	0	0	0	1	1	
P13	2	1	0	0	0	0	1	1	
P13	3	1	0	0	1	0	0	1	
P13	4	1	0	0	0	1	0	1	
P13	5	1	0	0	0	1	0	1	
P13	6	1	0	0	0	1	0	1	
P13	7	1	0	0	0	0	0	1	
P13	8	1	0	0	0	0	0	1	
P13	9	1	0	0	0	0	0	1	
P13	10	1	0	0	0	1	0	1	
P13	11	1	1	0	0	0	0	0	
P13	12	1	1	0	0	0	0	0	
P13	13	1	1	0	0	0	0	0	
P13	14	1	1	0	0	0	0	0	
P13	15	1	1	0	0	0	0	0	
P13	16	1	0	0	0	0	0	0	
P13	17	1	0	0	0	0	1	1	
P13	18	1	0	0	0	0	1	1	
P13	19	1	0	0	0	1	0	1	
P13	20	1	0	0	0	0	0	1	
P13	21	1	0	0	1	0	0	1	
P13	22	1	0	0	1	0	0	1	
P13	23	1	0	0	0	0	0	1	
P13	24	1	0	0	1	0	0	1	
P13	25	1	0	0	0	1	0	1	
P13	26	1	0	0	0	1	0	1	
P13	27	1	0	0	0	1	0	1	
P13	28	1	0	0	0	0	0	1	
P13	29	1	0	0	1	0	0	1	
P13	30	1	0	0	1	0	0	1	
